Author	n (strains)	publication title	journal	publication URL	strains
Zhang et al A	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	hCoV-19/Wuhan/Hu-1/2019
Lili Ren et al	3	Genomic diversity of SARS-CoV-2 in Coronavirus Disease 2019 patients	unknown	https://dx.doi.org/10.1093/cid/ciaa203/5780800	hCoV-19/Wuhan/IPBCAMS-WH-02/2019,hCoV-19/Wuhan/IPBCAMS-WH-03/2019,hCoV-19/Wuhan/IPBCAMS-WH-04/2019
Peng Zhou et al	2	unknown	unknown	unknown	hCoV-19/Wuhan/WIV06/2019,hCoV-19/Wuhan/WIV05/2019
Tsuyoshi Sekizuka et al A	1	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	hCoV-19/Japan/PG-0016/2020
Lv et al	40	unknown	unknown	unknown	hCoV-19/China/FU-P69-F-3/2020,hCoV-19/China/FU-P35-B-2/2020,hCoV-19/China/FU-P23-2/2020,hCoV-19/China/FU-P182-4/2020,hCoV-19/China/FU-P213-B-2/2020,hCoV-19/China/FU-P196-A-4/2020,hCoV-19/China/FU-P196-C-4/2020,hCoV-19/China/FU-P196-B-4/2020,hCoV-19/China/FU-P117-B-3/2020,hCoV-19/China/FU-P87-F-3/2020,hCoV-19/China/FU-P178-4/2020,hCoV-19/China/FU-P130-B-3/2020,hCoV-19/China/FU-P183-4/2020,hCoV-19/China/FU-P88-3/2020,hCoV-19/China/FU-P85-B-3/2020,hCoV-19/China/FU-P80-3/2020,hCoV-19/China/FU-P78-C-3/2020,hCoV-19/China/FU-P185-4/2020,hCoV-19/China/FU-P78-E-3/2020,hCoV-19/China/FU-P176-4/2020,hCoV-19/China/FU-P170-3/2020,hCoV-19/China/FU-P177-4/2020,hCoV-19/China/FU-P179-4/2020,hCoV-19/China/FU-P180-4/2020,hCoV-19/China/FU-P86-3/2020,hCoV-19/China/FU-P188-4/2020,hCoV-19/China/FU-P157-3/2020,hCoV-19/China/FU-P171-3/2020,hCoV-19/China/FU-P99-A-3/2020,hCoV-19/China/FU-P175-4/2020,hCoV-19/China/FU-P91-3/2020,hCoV-19/China/FU-P192-4/2020,hCoV-19/China/FU-P155-3/2020,hCoV-19/China/FU-P162-B-3/2020,hCoV-19/China/FU-P174-4/2020,hCoV-19/China/FU-P198-4/2020,hCoV-19/China/FU-P145-3/2020,hCoV-19/Henan/XYCDC-020/2024,hCoV-19/Henan/XYCDC-021/2024,hCoV-19/Henan/XYCDC-025/2024
Fan et al	6	unknown	unknown	unknown	hCoV-19/Wuhan/IME-WH05/2019,hCoV-19/Wuhan/IME-WH04/2019,hCoV-19/Wuhan/IME-WH02/2019,hCoV-19/Wuhan/IME-WH03/2019,hCoV-19/Wuhan/IME-WH01/2019,hCoV-19/Sichuan/NJCDC-1123-3/2023
Bin Fang et al	2	Genome-wide data inferring the evolution and population demography of the novel pneumonia coronavirus (SARS-CoV-2)	unknown	https://dx.doi.org/10.1101/2020.03.04.976662	hCoV-19/Wuhan/HBCDC-HB-01/2019,hCoV-19/Wuhan/HBCDC-HB-02/2019
Trinh Hoang Long et al	7	unknown	unknown	unknown	hCoV-19/Vietnam/KH-01/2020,hCoV-19/Vietnam/BT-58/2020,hCoV-19/Vietnam/BT2021-80/2021,hCoV-19/Vietnam/DN2022_03/2022,hCoV-19/Vietnam/H-02/2020,hCoV-19/Vietnam/KH-55/2020,hCoV-19/Vietnam/QNg-39/2020
Ning Zhang et al	2	unknown	unknown	unknown	hCoV-19/Beijing/CAS-B001D/2020,hCoV-19/Beijing/CAS-B002-XFD/2020
Rodpan et al	2	unknown	unknown	unknown	hCoV-19/Thailand/SI200893-NT/2020,hCoV-19/Thailand/SI200468-NT/2020
Cheng et al	2	unknown	unknown	unknown	hCoV-19/Anhui/29-2/2020,hCoV-19/Anhui/60/2020
JianXiong Li et al	3	unknown	unknown	unknown	hCoV-19/Jiangxi/JX2019/2020,hCoV-19/Yichun/JX2391/2020,hCoV-19/Shangrao/JX29/2020
Cesare E.M. Gruber et al	1	The first two cases of 2019-nCoV in Italy: Where they come from?	unknown	https://dx.doi.org/10.1002/jmv.25699	hCoV-19/Italy/LAZ-INMI2-N/2020
Oluniyi P.E. et al A	16	unknown	unknown	unknown	hCoV-19/Nigeria/LA-CV263/2020,hCoV-19/Nigeria/BO-CV328/2020,hCoV-19/Nigeria/FC-CV234/2020,hCoV-19/Nigeria/BO-CV326/2020,hCoV-19/Nigeria/ED06-CV159/2020,hCoV-19/Nigeria/FC-CV246/2020,hCoV-19/Nigeria/FC-CV354/2020,hCoV-19/Cameroon/CV428/2020,hCoV-19/Cameroon/CV406/2020,hCoV-19/Nigeria/FC-CV541/2020,hCoV-19/Nigeria/LA-CV255/2020,hCoV-19/Nigeria/OY625-CV182/2020,hCoV-19/Nigeria/CV566/2020,hCoV-19/Nigeria/CV626/2020,hCoV-19/Nigeria/FC-CV534/2020,hCoV-19/Nigeria/LA-CV261/2020
Ana da Silva Filipe et al	4	unknown	unknown	unknown	hCoV-19/Scotland/CVR3079/2020,hCoV-19/Scotland/CLIMB-CM7YGT76/2024,hCoV-19/Scotland/SCOT-30928/2023,hCoV-19/Scotland/SCOT-31389/2023
Arash Iranzadeh et al	3	unknown	unknown	unknown	hCoV-19/SouthAfrica/NHLS-UCT-GS-0058/2020,hCoV-19/SouthAfrica/NHLS-UCT-GS-A925/2021,hCoV-19/SouthAfrica/NHLS-UCT-GS-BJ81/2022
PHE Covid Sequencing Team et al	10	unknown	unknown	unknown	hCoV-19/England/20099070104/2020,hCoV-19/Ukraine/203100320/2020,hCoV-19/England/PHEC-YYGYHPR/2022,hCoV-19/England/CLIMB-CM7YGWXD/2023,hCoV-19/England/CLIMB-CM7YMRQ6/2024,hCoV-19/England/CLIMB-CM7YRKZW/2024,hCoV-19/England/CLIMB-CM7YMZFX/2024,hCoV-19/England/PHEC-YYEKZBM/2023,hCoV-19/England/PHEC-YYEUE4W/2023,hCoV-19/England/CLIMB-CM7YMCY7/2023
Krista Queen et al A	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	hCoV-19/USA/CA-CDC-03039595-001/2020
Shengyue Wang et al	1	unknown	unknown	unknown	hCoV-19/Shanghai/SH0008/2020
Baowen Du et al	8	unknown	unknown	unknown	hCoV-19/Sichuan/SC-NJ-095/2020,hCoV-19/Wuhan/HB-WHCM2-280/2020,hCoV-19/Wuhan/HB-WH4-194/2020,hCoV-19/Wuhan/HB-WH2-161/2020,hCoV-19/Wuhan/HB-WH3-177/2020,hCoV-19/Sichuan/SC-NC-078/2020,hCoV-19/Sichuan/SC-WCH4-287/2020,hCoV-19/Wuhan/HB-WH6-246/2020
Qiu et al	1	unknown	unknown	unknown	hCoV-19/Hunan/HN-CIDC-P10/2020
Jun Li et al	3	unknown	unknown	unknown	hCoV-19/Hangzhou/HZCDC0119/2020,hCoV-19/Zhejiang/IVDC-888/2022,hCoV-19/Zhejiang/IVDC-642/2022
Wenjie Tan et al	2	unknown	unknown	unknown	hCoV-19/Wuhan/IVDC-HB-GX02/2019,hCoV-19/Beijing/IVDC-01-06/2020
Potdar et al A	2	Full-genome sequences of the first two SARS-CoV-2 viruses from India	unknown	https://dx.doi.org/10.4103/ijmr.IJMR_663_20	hCoV-19/India/MH-1-27/2020,hCoV-19/India/MH-1-31/2020
Jianjun Chen et al	1	unknown	unknown	unknown	hCoV-19/Wuhan/0125-A152/2020
Amirtharaj Francis et al	1	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/skmc-2200543104/2020
Shakeel et al	5	unknown	unknown	unknown	hCoV-19/Pakistan/KHI1/2020,hCoV-19/Pakistan/JRCGR-KHI06/2020,hCoV-19/Pakistan/JRCGR-KHI37/2020,hCoV-19/Pakistan/JRCGR-KHI36/2020,hCoV-19/Pakistan/JRCGR-KHI43/2020
Jing Lu et al	2	Genomic Epidemiology of SARS-CoV-2 in Guangdong Province, China	unknown	https://dx.doi.org/10.1016/j.cell.2020.04.023	hCoV-19/Guangdong/GDSZ202008-P0020/2020,hCoV-19/Guangdong/2020XN4291-P0038/2020
Shashi Sharma et al	1	unknown	unknown	unknown	hCoV-19/India/MP-DRDE115/2020
Frilasita A Yudhaputri et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-EIJK19/2020
Kazufumi Shimizu et al	4	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-853Sp/2020,hCoV-19/Indonesia/JI-ITDua-35340NT/2020,hCoV-19/Indonesia/JI-GS-ITD-54593NT/2022,hCoV-19/Indonesia/JI-ITD-61917NT/2024
Jezzy R Dewantari et al	5	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-150Sp/2020,hCoV-19/Indonesia/JI-ITD-5457NT/2020,hCoV-19/Indonesia/JI-GS-ITD-Cs53133N/2021,hCoV-19/Indonesia/JI-ITD-61915N/2024,hCoV-19/Indonesia/JI-ITD-61722NT/2023
Yacouba Sawadogo et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/CHUSS_6944/2021,hCoV-19/BurkinaFaso/CHUSS_16943/2023
Agustiningsih et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-NIHRD-C0023408/2020
Javed et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	hCoV-19/Pakistan/Gilgit1/2020
Bas Oude Munnink et al	1	unknown	unknown	unknown	hCoV-19/Bahrain/BAH-26/2020
Zohreh Fattahi et al	6	unknown	unknown	unknown	hCoV-19/Iran/GRC-11/2020,hCoV-19/Iran/GRC-T10709/2020,hCoV-19/Iran/GRC-T11747/2021,hCoV-19/Iran/GRC-Sh-11-108/2021,hCoV-19/Iran/GRC-14147-Tehran-LaB/2021,hCoV-19/Iran/GRC-33305/2020
Peter Bauer et al	1	unknown	unknown	unknown	hCoV-19/Iran/Cento-37431805/2020
Ali Maleki et al	7	unknown	unknown	unknown	hCoV-19/Iran/E22542/2020,hCoV-19/Iran/K1927/2020,hCoV-19/Iran/AF0853/2021,hCoV-19/Iran/AK06150NGS/2021,hCoV-19/Iran/AN1238/2021,hCoV-19/Iran/BE2830/2022,hCoV-19/Iran/BK1026/2022
Zahra Ahmadi et al	9	unknown	unknown	unknown	hCoV-19/Iran/2589/2020,hCoV-19/Iran/AL2644/2021,hCoV-19/Iran/AF193NGS/2021,hCoV-19/Iran/AQ01163/2022,hCoV-19/Iran/EB1010/2023,hCoV-19/Iran/EE176/2023,hCoV-19/Iran/EH1325/2023,hCoV-19/Iran/EH272/2023,hCoV-19/Iran/EE015/2023
Pramod Kumar et al	5	Integrated genomic view of SARS-CoV-2 in India	unknown	https://dx.doi.org/10.1101/2020.06.04.128751	hCoV-19/India/LA-NCDC-01444/2020,hCoV-19/India/UP-NCDC-02321/2020,hCoV-19/India/TN-NCDC-02242/2020,hCoV-19/India/UP-NCDC-02322/2020,hCoV-19/India/TN-NCDC-02327/2020
Chandima Jeewandara et al	6	unknown	unknown	unknown	hCoV-19/SriLanka/CDR503/2020,hCoV-19/SriLanka/CA103847/2021,hCoV-19/SriLanka/CMC69934/2021,hCoV-19/SriLanka/CMC95123/2021,hCoV-19/SriLanka/aicbu605/2021,hCoV-19/SriLanka/aicbu6232/2023
Ilker Karacan et al	3	unknown	unknown	unknown	hCoV-19/Turkey/IST-GLAB-114/2020,hCoV-19/Turkey/IST-GLAB-335/2020,hCoV-19/Turkey/IST-GLAB-170/2020
Mahsa Tavakoli et al	3	unknown	unknown	unknown	hCoV-19/Iran/10887/2020,hCoV-19/Iran/49110/2021,hCoV-19/Iran/BB18202/2022
Thang Minh Cao et al	4	unknown	unknown	unknown	hCoV-19/Vietnam/PIHCM-869/2020,hCoV-19/Vietnam/Long_An-V43/2021,hCoV-19/Vietnam/PIHCM-7708/2020,hCoV-19/Vietnam/PIHCM_22/2023
Takayuki Murata et al	1	unknown	unknown	unknown	hCoV-19/Japan/FHU-CS84-0228/2020
Sunil Raghav et al	4	unknown	unknown	unknown	hCoV-19/India/OR-ILSCV16498/2020,hCoV-19/India/OR-ILSCV25378/2020,hCoV-19/India/OR-ILSCV19358/2020,hCoV-19/India/OR-ILSCV20557/2020
Ali et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/KP-RMI-01/2020
Potdar et al B	14	unknown	unknown	unknown	hCoV-19/India/MH-NIV-6423/2020,hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-1538/2021,hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-337/2020,hCoV-19/India/MH-ICMR-NIV-INSAGOG-GSEQ-1251/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5038/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5497/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5193/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5324/2021,hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-553/2020,hCoV-19/India/MH-NIV-10419/2020,hCoV-19/India/MH-NIV-25950/2020,hCoV-19/India/MH-NIV-15879/2020,hCoV-19/India/MH-NIV-28416/2020,hCoV-19/India/TN-ICMR-NIRT-INSACOG-357/2020
Tulasi Nagabandi et al A	1	A distinct phylogenetic cluster of Indian SARS-CoV-2 isolates	unknown	https://dx.doi.org/10.1101/2020.05.31.126136	hCoV-19/India/TG-CCMB-K128/2020
Pramod Kumar# et al	1	Integrated genomic view of SARS-CoV-2 in India	unknown	https://dx.doi.org/10.1101/2020.06.04.128751	hCoV-19/India/AP-NCDC-3936/2020
Lei Lanna Dancel et al	3	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0065/2020,hCoV-19/Philippines/PH-RITM-0066/2020,hCoV-19/Philippines/PH-RITM-0068/2020
Carlo M. Lapid et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PGC06/2020
Sofia Banu et al A	1	A distinct phylogenetic cluster of Indian SARS-CoV-2 isolates	unknown	https://dx.doi.org/10.1101/2020.05.31.126136	hCoV-19/India/TG-CCMB-J165/2020
