strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al A (https://dx.doi.org/10.1038/s41586-020-2008-3)
hCoV-19/Wuhan/IPBCAMS-WH-02/2019	EPI_ISL_403931	MT019530.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
hCoV-19/Wuhan/WIV06/2019	EPI_ISL_402129	MN996530.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
hCoV-19/Japan/PG-0016/2020	EPI_ISL_479800		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
hCoV-19/China/FU-P69-F-3/2020	EPI_ISL_19023754		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/Wuhan/IME-WH05/2019	EPI_ISL_529217	MT291830.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Wuhan/HBCDC-HB-01/2019	EPI_ISL_402132		Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al (https://dx.doi.org/10.1101/2020.03.04.976662)
hCoV-19/Wuhan/IPBCAMS-WH-03/2019	EPI_ISL_403930	MT019531.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
hCoV-19/Vietnam/KH-01/2020	EPI_ISL_17373276		CDC Khánh Hòa, Vietnam	Department of Microbiology and Immunology, Pasteur Institute in Nha Trang	Trinh Hoang Long et al
hCoV-19/Beijing/CAS-B001D/2020	EPI_ISL_514256		CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences	Ning Zhang et al
hCoV-19/Wuhan/IPBCAMS-WH-04/2019	EPI_ISL_403929	MT019532.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
hCoV-19/Wuhan/IME-WH04/2019	EPI_ISL_529216	MT291829.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Wuhan/IME-WH02/2019	EPI_ISL_529214	MT291827.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Thailand/SI200893-NT/2020	EPI_ISL_437624	MT447154.1		Faculty of Medicine	Rodpan et al
hCoV-19/Anhui/29-2/2020	EPI_ISL_16138317		College of life sciences, Anhui Medical University	College of life sciences, Anhui Medical University	Cheng et al
hCoV-19/China/FU-P35-B-2/2020	EPI_ISL_19023556		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/Jiangxi/JX2019/2020	EPI_ISL_455507		Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
hCoV-19/Italy/LAZ-INMI2-N/2020	EPI_ISL_451302	MT509662.1	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al (https://dx.doi.org/10.1002/jmv.25699)
